school_id,ncessch,school_name,entry_grade,projection_year,projection_type,grade,projected_enrollment,generated_at,survival_rate_min,survival_rate_median,survival_rate_max,entry_grade_low,entry_grade_high,entry_grade_median
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,max,Grade 8,5,2025-06-13T16:45:29.516122,0.5384615384615384,0.5384615384615384,0.5384615384615384,,,
1912059,00000033,St James Catholic School,Kindergarten,2025-2026,max,Kindergarten,15,2025-06-13T16:45:29.516124,0.9655172413793104,1.0,1.0344827586206897,14,15,14
1912059,00000033,St James Catholic School,Kindergarten,2025-2026,max,Grade 1,11,2025-06-13T16:45:29.516127,0.7142857142857143,0.7142857142857143,0.7142857142857143,,,
1912059,00000033,St James Catholic School,Kindergarten,2025-2026,max,Grade 2,11,2025-06-13T16:45:29.516130,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2025-2026,max,Grade 3,12,2025-06-13T16:45:29.516132,1.0909090909090908,1.0909090909090908,1.0909090909090908,,,
1912059,00000033,St James Catholic School,Kindergarten,2025-2026,max,Grade 4,10,2025-06-13T16:45:29.516135,0.8125,0.8125,0.8125,,,
1912059,00000033,St James Catholic School,Kindergarten,2025-2026,max,Grade 5,6,2025-06-13T16:45:29.516137,0.6428571428571429,0.6428571428571429,0.6428571428571429,,,
1912059,00000033,St James Catholic School,Kindergarten,2025-2026,max,Grade 6,7,2025-06-13T16:45:29.516140,1.0666666666666667,1.0666666666666667,1.0666666666666667,,,
1912059,00000033,St James Catholic School,Kindergarten,2025-2026,max,Grade 7,6,2025-06-13T16:45:29.516142,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2025-2026,max,Grade 8,5,2025-06-13T16:45:29.516145,0.5384615384615384,0.5384615384615384,0.5384615384615384,,,
1912059,00000033,St James Catholic School,Kindergarten,2026-2027,max,Kindergarten,15,2025-06-13T16:45:29.516148,0.9655172413793104,1.0,1.0344827586206897,14,15,14
1912059,00000033,St James Catholic School,Kindergarten,2026-2027,max,Grade 1,11,2025-06-13T16:45:29.516156,0.7142857142857143,0.7142857142857143,0.7142857142857143,,,
1912059,00000033,St James Catholic School,Kindergarten,2026-2027,max,Grade 2,11,2025-06-13T16:45:29.516158,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2026-2027,max,Grade 3,12,2025-06-13T16:45:29.516162,1.0909090909090908,1.0909090909090908,1.0909090909090908,,,
1912059,00000033,St James Catholic School,Kindergarten,2026-2027,max,Grade 4,10,2025-06-13T16:45:29.516165,0.8125,0.8125,0.8125,,,
1912059,00000033,St James Catholic School,Kindergarten,2026-2027,max,Grade 5,6,2025-06-13T16:45:29.516167,0.6428571428571429,0.6428571428571429,0.6428571428571429,,,
1912059,00000033,St James Catholic School,Kindergarten,2026-2027,max,Grade 6,6,2025-06-13T16:45:29.516170,1.0666666666666667,1.0666666666666667,1.0666666666666667,,,
1912059,00000033,St James Catholic School,Kindergarten,2026-2027,max,Grade 7,7,2025-06-13T16:45:29.516172,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2026-2027,max,Grade 8,3,2025-06-13T16:45:29.516175,0.5384615384615384,0.5384615384615384,0.5384615384615384,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,outer_min,Kindergarten,14,2025-06-13T16:45:29.516178,0.9655172413793104,1.0,1.0344827586206897,14,15,14
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,outer_min,Grade 1,10,2025-06-13T16:45:29.516182,0.7142857142857143,0.7142857142857143,0.7142857142857143,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,outer_min,Grade 2,11,2025-06-13T16:45:29.516184,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,outer_min,Grade 3,12,2025-06-13T16:45:29.516187,1.0909090909090908,1.0909090909090908,1.0909090909090908,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,outer_min,Grade 4,13,2025-06-13T16:45:29.516189,0.8125,0.8125,0.8125,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,outer_min,Grade 5,9,2025-06-13T16:45:29.516192,0.6428571428571429,0.6428571428571429,0.6428571428571429,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,outer_min,Grade 6,13,2025-06-13T16:45:29.516195,1.0666666666666667,1.0666666666666667,1.0666666666666667,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,outer_min,Grade 7,13,2025-06-13T16:45:29.516197,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,outer_min,Grade 8,7,2025-06-13T16:45:29.516200,0.5384615384615384,0.5384615384615384,0.5384615384615384,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,outer_min,Kindergarten,14,2025-06-13T16:45:29.516202,0.9655172413793104,1.0,1.0344827586206897,14,15,14
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,outer_min,Grade 1,10,2025-06-13T16:45:29.516205,0.7142857142857143,0.7142857142857143,0.7142857142857143,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,outer_min,Grade 2,11,2025-06-13T16:45:29.516207,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,outer_min,Grade 3,12,2025-06-13T16:45:29.516210,1.0909090909090908,1.0909090909090908,1.0909090909090908,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,outer_min,Grade 4,13,2025-06-13T16:45:29.516212,0.8125,0.8125,0.8125,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,outer_min,Grade 5,9,2025-06-13T16:45:29.516215,0.6428571428571429,0.6428571428571429,0.6428571428571429,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,outer_min,Grade 6,13,2025-06-13T16:45:29.516218,1.0666666666666667,1.0666666666666667,1.0666666666666667,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,outer_min,Grade 7,13,2025-06-13T16:45:29.516220,1.0,1.0,1.0,,,
