location_point_id,address,city,state,zip_code,latitude,longitude,school_count,school_ids
1767307,3120 ST LOUIS AVE,ST LOUIS,MO,63106.0,38.6535606,-90.2190394,7,1996382
1767308,3125 S KINGSHIGHWAY BLVD,ST LOUIS,MO,63139.0,38.6048115,-90.2711697,7,1996367
1767313,3230 HARTFORD ST,ST LOUIS,MO,63118.0,38.600215,-90.2368528,7,1996361
1767314,3412 SHENANDOAH AVE,ST LOUIS,MO,63104.0,38.6087969,-90.2371664,7,1996362
1767319,3641 MISSOURI AVE,ST LOUIS,MO,63118.0,38.5881088,-90.2250164,7,1996385
1767320,3709 NEBRASKA AVE,ST LOUIS,MO,63118.0,38.5883567,-90.233937,7,1996346
1767325,3836 NATURAL BRIDGE AVE,ST LOUIS,MO,63107.0,38.6625596,-90.2218872,7,1996334
1767326,3921 N NEWSTEAD,ST LOUIS,MO,63115.0,38.6713233,-90.2361216,7,1996333
1767327,3935 ENRIGHT AVE,ST LOUIS,MO,63108.0,38.6450442,-90.2381691,7,1996338
1767328,4 GATEWAY DR,ST LOUIS,MO,63106.0,38.6416604,-90.2111628,7,1996329
1767329,400 S KINGSHIGHWAY BLVD,ST LOUIS,MO,63110.0,38.6365716,-90.2659664,7,1996364
1767331,4015 MCPHERSON AVE,ST LOUIS,MO,63108.0,38.6408529,-90.2430107,7,1996359
1767333,4041 S BROADWAY,ST LOUIS,MO,63118.0,38.5817903,-90.2287242,7,1996388
1767334,4047 JUNIATA ST,ST LOUIS,MO,63116.0,38.6022152,-90.2544152,7,1996357
1767335,4160 N KINGSHIGHWAY,ST LOUIS,MO,63115.0,38.6809956,-90.2477532,7,1996348
1767336,4221 SHAW BLVD,ST LOUIS,MO,63110.0,38.6171444,-90.2545231,7,1996327
1767337,4248 COTTAGE AVE,ST LOUIS,MO,63113.0,38.6596181,-90.2396618,7,1996365
1767339,4265 ATHLONE AVE,ST LOUIS,MO,63115.0,38.6754586,-90.2283606,7,1996390
1767340,4300 MORGANFORD RD,ST LOUIS,MO,63116.0,38.5885212,-90.2639364,7,1996360
1767348,4915 DONOVAN AVE,ST LOUIS,MO,63109.0,38.5875203,-90.3043425,7,1996344
1767349,5000 DAVISON AVE,ST LOUIS,MO,63120.0,38.6935786,-90.2509217,7,1996368
1767351,5028 MORGANFORD RD,ST LOUIS,MO,63116.0,38.5801378,-90.2672216,7,1996355
1767352,5030 LEXINGTON AVE,ST LOUIS,MO,63115.0,38.674399,-90.2551092,7,1996354
1767353,5031 POTOMAC,ST LOUIS,MO,63139.0,38.5980002,-90.2764027,7,1996380
1767354,5101 MCREE AVE,ST LOUIS,MO,63110.0,38.6213736,-90.2698064,7,1996323
1767355,5130 OAKLAND AVE,ST LOUIS,MO,63110.0,38.6293192,-90.2720784,7,1996345
1767358,516 LOUGHBOROUGH AVE,ST LOUIS,MO,63111.0,38.5549362,-90.2569133,7,1996372
1767360,5279 FYLER AVENUE,ST LOUIS,MO,63139.0,38.6014239,-90.2796143,7,1994259
1767361,5319 LANSDOWNE AVE,ST LOUIS,MO,63109.0,38.5889997,-90.2830252,7,1996336
1767362,5329 COLUMBIA AVE,ST LOUIS,MO,63139.0,38.6117224,-90.2770164,7,1996373
1767366,5821 KENNERLY AVE,ST LOUIS,MO,63112.0,38.6773896,-90.2766521,7,1996352
1767367,5831 PAMPLIN PL,ST LOUIS,MO,63147.0,38.7110584,-90.252116,7,1996350
1767369,5910 CLIFTON AVE,ST LOUIS,MO,63109.0,38.5779381,-90.2972349,7,1996375
1767372,6020 PERNOD AVE,ST LOUIS,MO,63139.0,38.5963589,-90.2937903,7,1996356
1767373,6031 SOUTHWEST AVE,ST LOUIS,MO,63139.0,38.6108605,-90.2902434,7,1996347
1767374,6124 ENRIGHT AVE,ST LOUIS,MO,63112.0,38.6562702,-90.2987158,7,1994138
1767375,6131 LEONA ST,ST LOUIS,MO,63116.0,38.5691374,-90.2693466,7,1996386
1767380,647 TOWER GROVE AVE,ST LOUIS,MO,63110.0,38.6321402,-90.2556231,7,1996330
1767386,725 BELLERIVE BLVD,ST LOUIS,MO,63111.0,38.5657098,-90.249967,7,1996369
1767393,815 ANN AVE,ST LOUIS,MO,63104.0,38.6056982,-90.2049042,7,1996379
1767396,8959 RIVERVIEW BLVD,ST LOUIS,MO,63147.0,38.72142660000001,-90.2411094,7,1996387
1767402,918 N UNION BLVD,ST LOUIS,MO,63108.0,38.6554618,-90.272516,7,1996325
1767431,1106 North Jefferson,ST. LOUIS,MO,63106.0,38.6401203,-90.2123258,7,1994315
1767432,118 SOUTH 7TH ST.,ST. LOUIS,MO,63104.0,38.6087304,-90.2013362,7,1996398
1767438,1900 Lafayette Avenue,ST. LOUIS,MO,63104.0,38.6136178,-90.2136023,7,1994309
1767439,1901 N KINGSHIGHWAY BLVD,ST. LOUIS,MO,63113.0,38.6660577,-90.2600063,7,1994312
1767440,2315 MIAMI ST.,ST. LOUIS,MO,63118.0,38.5897024,-90.2255477,7,"1994321,1994322"
1767441,2617 SHENANDOAH AVE.,ST. LOUIS,MO,63104.0,38.607829,-90.22335,7,1994306
1767443,3021 HICKEY ST,ST. LOUIS,MO,63104.0,38.6160491,-90.2291565,7,1996394
1767445,3325 Bell,ST. LOUIS,MO,63106.0,38.6449348,-90.2080547,7,1996393
1767446,3716 MORGANFORD RD.,ST. LOUIS,MO,63116.0,38.5910135,-90.2632879,7,1994305
1767448,3847 ENRIGHT AVENUE,ST. LOUIS,MO,63108.0,38.6443497,-90.2358809,7,1996396
1767451,4471 OLIVE STREET,ST. LOUIS,MO,63108.0,38.6480485,-90.2538723,7,1994314
1767457,6651 GRAVOIS AVE.,ST. LOUIS,MO,63116.0,38.5722289,-90.2835031,7,1994288
1767461,955 ARCADE AVENUE,ST. LOUIS,MO,63118.0,38.6599598,-90.2799886,7,1994281
1767535,1901 N. Kingshighway Blvd,St. Louis,MO,63113.0,38.6660577,-90.2600063,7,1994313
1767536,2516 S. 9th St.,St. Louis,MO,63104.0,38.6014036,-90.2076352,7,1996392
1767538,2900 S. GRAND BLVD.,St. Louis,MO,63118.0,38.6041304,-90.241682,7,1994307
1767540,3630 OHIO AVE.,St. Louis,MO,63118.0,38.5889547,-90.2283136,7,1994308
1767543,6576 Smiley Avenue,St. Louis,MO,63139.0,38.6064995,-90.3022646,7,1994286
